,,,,,,,일정 목록 함께 보기,
,,,,,,,일정 목록 검색,
,,,지원자 검색,,목록,,공고이동,
,,,,,,,다운로드,
,,,,,지원서/인재카드 상세 조회,,기본사항 조회,
,,,,,,,상세 인적사항 조회,
,,,,,,,경력사항 조회,
,,,,,,,자기소개서 조회,
,,,,,,,파일 제출,
,,,,,,,현업 서류평가 결과 조회,
,,,,,,,현업 서류평가 결과 조회,
,,,,,,,인적성 검사 조회,
,,,,,,,역량검사 조회,
,,,,,,,면접 결과 조회,
,,,,,,,면접 결과 상세 조회,
,,,,,,,평판 조회,
,,,,,,,사별특화전형 결과 조회,
,,,,,,,지원서 다운로드,
,,,SMS 발송,,SMS 발송 목록 ,,SMS 발송 내역 조회,
,,,,,,,SMS 발송 처리,
,,,이메일 발송,,이메일 발송 목록,,이메일 발송 내역 조회,
,,,,,,,이메일 발송 처리,
,,,메모,,목록 ,,메모 검색,
,,,,,,,메모 추가,
,,,나의 정보,,조회 및 설정,,나의정보 상세 조회,
,,,,,,,비밀번호 설정,
,기타 업무,,회원 관리,,목록,,회원 목록 조회,
,,,로그 이력,,목록,,로그이력 조회,
,,,상담 관리,,상담 조회 및 상태 확인,,"조회 및 처리(대기, 수락, 거절 등)",
,,,,,,,예약 취소,
,,,헤드헌팅 및 홍보,,헤드헌팅 대상 관리 ,,목록 조회,
,,,,,,,상세 조회,
,,,,,헤드헌팅 일지 관리,,목록 조회,
,,,,,,,상세 조회,
